Player,Pos,OVR,Age,Spd,Str,Agi,Acc,Awr,Btk,Trk,Cod,Bcv
C. Gonzalez,CB,97,23,96,59,92,93,97,67,42,93,75
D. Maye,QB,94,23,89,62,82,89,96,67,43,78,85
S. Diggs,WR,87,31,88,62,92,92,85,81,42,94,95
C. Barmore,DT,86,26,83,92,82,86,89,15,26,67,18
M. Onwenu,RG,86,27,66,91,55,54,91,20,29,47,24
H. Henry,TE,86,30,85,75,76,86,97,56,78,71,78
R. Spillane,MIKE,85,29,87,71,77,86,93,31,45,72,43
C. Davis III,CB,85,26,90,65,81,90,90,48,29,81,56
M. Moses,RT,83,34,65,90,54,61,95,6,20,45,10
M. Jones,CB,82,26,92,48,92,95,80,75,26,93,88
W. Campbell,LT,82,21,73,87,71,78,90,13,28,58,11
H. Landry III,REDG,82,29,85,78,84,88,85,36,36,71,50
K. Boutte,WR,80,23,91,58,86,90,82,77,44,84,83
C. Barmore,DT,80,26,74,89,64,75,74,14,26,55,16
J. Hawkins,CB,78,24,92,56,84,93,74,54,33,83,60
J. Barringer,P,78,26,92,53,70,90,68,14,19,45,15
A. Gibson,HB,78,27,92,68,88,91,78,83,77,86,81
D. Douglas,WR,77,24,91,57,88,93,79,73,51,90,86
R. Stevenson,HB,77,27,88,79,82,87,72,86,87,83,85
A. Jennings,REDG,77,28,81,74,86,77,28,44,66,46,53
G. Bradbury,C,77,30,73,90,68,78,81,14,27,56,13
M. Ross,WR,77,31,91,59,89,90,80,75,36,89,77
K. Chaisson,LEDG,75,26,86,75,85,88,68,19,30,73,32
A. Hooper,TE,74,30,81,72,79,83,69,61,67,67,64
J. Tavai,MIKE,74,26,86,78,79,85,72,47,59,71,40
A. Borregales,K,74,23,75,46,60,68,66,18,16,40,16
K. Williams,WR,73,22,94,66,87,95,70,76,60,85,84
M. Hollins,WR,73,32,90,76,85,88,82,83,73,76,78
K. Tonga,DT,73,29,61,91,56,75,71,21,52,54,39
J. Gibbons,WILL,72,26,84,72,78,86,70,25,44,70,41
J. Westover,FB,72,26,80,78,81,85,59,61,66,74,71
J. Wilson,FS,72,22,86,70,79,90,68,62,49,81,58
M. Mapu,MIKE,71,25,90,71,86,87,62,60,71,80,54
C. Wallace,LG,71,26,68,89,65,79,76,13,25,59,19
A. Austin,CB,70,24,88,49,85,90,76,49,29,83,65
J. Roy,DT,70,24,68,91,57,68,64,10,29,54,12
D. Pettus,SS,69,24,89,64,83,91,67,53,42,79,68
C. Durden,DT,68,26,65,79,66,63,76,16,36,54,38
C. Muma,SAM,70,26,85,76,86,89,72,41,42,79,50
J. Dobbs,QB,68,30,88,74,84,86,61,75,53,79,83
B. Schooler,FS,66,28,92,64,91,91,62,56,47,87,74
B. Brown,LT,66,26,65,83,58,65,73,9,16,51,14
K. Minor,CB,66,25,87,58,85,90,68,44,25,84,63
J. Ashby,LS,65,26,73,68,68,83,66,33,36,56,41
T. Jennings,HB,65,24,88,74,75,91,69,77,79,78,78
T. DeVito,QB,65,27,84,62,82,78,90,68,44,75,84
